评分,评论内容
5,"外形外观：金色好爱❤️干净高级，
升级的钛合金边框也比15pro系列好看很多，非常喜欢
屏幕音效：16炮系列的最低最高亮度都有提升，最低亮度可以低到在半夜需要看手机时不再那么刺眼，但又看得清楚最高亮度在夏天室外也能看得更清楚一点
拍照效果：喜欢相机拍照键习惯后很好用，听说以后能调AI功能，期待非常期待"
5,iPhone体验超赞！A系列芯片运行流畅，iOS系统稳定又安全，屏幕色彩细腻，拍照效果堪比单反。续航给力，快充方便，设计轻薄时尚。生态互联无缝，AirDrop传文件超快，App Store优质应用丰富。虽然价格小贵，但耐用性和保值率都很高，综合体验物有所值，果粉必备！
5,原色15pm换白色16pm，体验堪称惊艳！A18 Pro芯片性能强劲，运行各类大型游戏都毫无压力，画面流畅不掉帧。6.9英寸超视网膜XDR显示屏，色彩鲜艳、显示细腻，户外强光下内容也清晰可见。相机功能更是一绝，4800万像素镜头搭配多种拍摄模式，随手一拍就是大片质感。续航给力，重度使用一天电量也能稳稳撑住。整体使用感超棒，强烈推荐！
5,"外形外观：时尚简约，一如既往地经典！钛金属又好看又轻，手感也非常不错！高端大气上档次！
屏幕音效：分辨率高，显示清晰！音质也很棒！
拍照效果：苹果在影像处理确实是很优秀！值得推荐！
运行速度：运行速度流畅，完美演绎纵享丝滑！
待机时间：弄个一天杠杠的！
其他特色：非常有用户思维的一家公司，产品着实不错！京东服务加持，值得入手！"
5,外观上，它的钛金属边框质感超棒，拿在手里很有高级感，陶瓷护盾前后玻璃不仅坚固，还抗指纹。整体做工精细，没有一点瑕疵。屏幕是6.9英寸超视网膜XDR屏，2868 x 1320分辨率，画面细腻到极致，自适应120Hz刷新率，刷网页、玩游戏都特别丝滑，2000尼特户外峰值亮度，大太阳下屏幕内容也清晰可见
5,"京东iPhone 16 Pro Max太惊艳了！
A18芯片性能超强，日常使用流畅到飞起，玩大型游戏也毫无压力。6.9英寸超视网膜屏色彩细腻，观影体验绝了。新增的钛金属边框质感拉满，耐磨又高级。续航更是没得说，重度使用一天妥妥的。京东物流超快，包装严实，正品无疑，入手不亏！"
5,本不想换的，优惠太大，手上的iPhone 14 PRO电池只有81了，三年了保护得很好，算上京东补贴，置换了4050元，实际只花了3950元就到手了，还免息，不买都感觉亏了，很满意，选了钛原色，好看，另外选了摩米士的超薄壳手感极好，闪魔钢化膜一拉就贴，就这样。
5,京东自营值得信赖，用了两天非常的好，没有瑕疵，外观设计很时尚，然后手感摸起来很舒服，屏幕显示的很清晰，很细腻，色彩也很鲜艳，最重要的是运行系统非常的流畅，应用切换一点卡顿都没有，拍照效果又好，电池续航比之前要强多了，日常使用一天也没有压力，性价比很高，强烈推荐！
5,入手iPhone 16 Pro Max一段时间了，体验堪称惊艳！A18 Pro芯片性能强劲，运行各类大型游戏都毫无压力，画面流畅不掉帧。6.9英寸超视网膜XDR显示屏，色彩鲜艳、显示细腻，户外强光下内容也清晰可见。相机功能更是一绝，4800万像素镜头搭配多种拍摄模式，随手一拍就是大片质感。续航给力，重度使用一天电量也能稳稳撑住。整体使用感超棒，强烈推荐！
5,iPhone 16 Pro Max真的惊艳到我！6.9英寸超视网膜屏视野超广，显示超清晰。A18 Pro芯片性能强劲，运行丝滑，大型游戏也能轻松应对。相机升级超给力，照片色彩还原度高，夜景也超赞。续航更是大幅提升，轻松满足日常使用，入手不亏！
5,当天送到 终于入手iPhone 16 Pro Max，体验感拉满！包装严实精美，配件齐全。6.9英寸超视网膜XDR屏，色彩鲜艳，画面超清晰。A18 Pro芯片性能强劲，运行流畅不卡顿。拍照功能升级，4800万像素三摄组合，轻松出大片。续航能力也不错，中度使用一天没问题。超满意！
5,"刚刚入手了这款16 Pro Max，真是让我惊喜连连！首先，屏幕显示效果非常出色，色彩还原度高，无论是看视频还是浏览图片都是一种享受。其次，性能方面也相当给力，运行速度极快，玩游戏、处理多任务时都非常流畅，完全感觉不到卡顿。
另外，它的拍照功能更是令人惊艳，不论是白天还是夜晚，拍摄出来的照片细节丰富、清晰度高，色彩也非常自然。而且续航能力也很强，正常使用一天完全没问题，充电速度也很快，这在日常生活中提供了极大的便利。
整体来说，这款手机的设计高端大气，手感舒适，系统操作简单易上手，是一款值得拥有的旗舰级产品。如果你正在考虑换机，我强烈推荐这款16 Pro Max！"
5,"搭载A18 Pro芯片，运行速度飞快，多任务、大型游戏毫无压力，发热控制也比上一代更好，流畅度满分！  
6.9英寸超视网膜XDR屏，ProMotion自适应刷新率，色彩细腻，户外亮度超高，看视频、刷网页都是一种享受。"
5,🎉 期待已久的新手机终于到手啦！✨ 这款新出的手机真是太棒了，无论是外观还是性能都让我惊艳不已。📱银色的机身配以极致的设计，拿在手上非常舒服。摄像头系统更是强大，拍照效果细腻清晰，夜拍功能也非常出色，完全满足了我的需求。📸 而且操作起来非常流畅，运行速度惊人，再也不用担心卡顿问题了。🚀 总的来说，这次购物体验非常满意，感谢京东平台提供的优质服务和快速配送。👍 期待下次再来选购更多好物哦！😁
5,"屏幕音效：6.9英寸超视网膜XDR屏，分辨率2868&times;1320像素，支持1Hz-120Hz自适应刷新率，显示效果清晰且流畅。
外形外观：钛金属中框+哑光玻璃背板，重量227克，握持感扎实且结构强度高。
拍照效果：后置三摄组合（4800万主摄+超广角+1200万长焦），解析力强，夜景和低光拍摄表现突出，5倍长焦镜头方便远距离拍摄
待机时间：4676mAh电池续航强劲，日常使用可维持30%电量，充电焦虑基本消除。
运行速度：搭载A18 Pro芯片，运行流畅无卡顿，游戏和多任务处理能力突出。"
5,上一台苹果还是13PM和14P，前者其实挺满意的，换了14P后太重了就没用了，后面一直用的国产安卓。兜兜转转现在又用回苹果了。机器重量还行，比老款轻多了，音质好，屏幕画面舒服，最主要的是续航太强了！我之前一直用的大电池安卓旗舰，本来没对16PM的续航有太高的预期，结果到手让人非常惊喜，真的可以妥妥用两天（本人不打游戏）！整体很满意！
5,真不是果粉滤镜，iPhone 16 Pro Max太让我惊喜！A18 Pro芯片加持，日常使用顺滑无比，打游戏帧率稳定。6.9英寸超视网膜屏显示效果超绝，色彩精准，户外强光下也清晰。相机升级明显，夜景拍摄噪点少，抓拍按钮很实用。续航能撑一整天，超省心！
5,"超满意！运行流畅不卡顿，玩游戏丝
滑无压力，高清大屏色彩鲜艳，追剧刷视频超享受。拍照效果绝了，夜景模式清晰有质感，自带美颜很自然。续航给力，充电半小时用一整天，出门告别电量焦虑。机身轻薄颜值高，握持手感舒适，系统操作人性化，功能实用无广告。这个价位物超所值，强烈推荐"
5,iPhone 16基于经典扁平机身结构，正面是一块细边OLED灵动岛直屏，背面采用了全新的竖排双摄模组设计，后盖中央依然是经典苹果logo，设计简约大气，颜值十分不错，而且辨识度相当高。：iPhone 16的电池续航比上一代好很多，在评测时中达到了13小时19分钟的成绩，比iPhone 15的**小时5分钟有了很大的提升，虽然有线充电速度还是不够快，仅仅45W，但无线充电速度和充电效率均有所提升，能够满足日常使用需求​￼​。
5,"家人们谁懂啊!刚到手的iPad Air 2025款简直是
我的梦中情板!外观延续了苹果简约高级的设计
风格，质感超棒，拿在手上特别有范儿。
性能方面更是没得说，搭载的处理器强劲，运行
速度飞快，不管是日常刷剧、办公，还是玩大型
游戏，都流畅得很，完全不会卡顿。它的屏幕显
示效果超惊艳，色彩鲜艳又真实，细节也很丰富.
追剧和画画的时候体验感直接拉满。
而且电池续航能力也不错，能满足我一整天的使
用需求。配件适配度高，搭配键盘和笔使用，生
产力直接飙升。真心觉得这次购物超值，强烈推
荐给大家。"
5,入手苹果16pm一段时间了，体验感超赞！它外观简约时尚，轻薄机身方便握持，竖排双摄设计新颖又有辨识度。屏幕显示细腻，色彩明艳动人，灵动岛交互超有趣。A18芯片性能太强悍，运行各种软件都流畅无阻，大型游戏也能轻松驾驭。4800万像素主摄拍照效果超绝，微距和空间照片功能让拍摄更有乐趣。再加上出色的系统和隐私保护，真的是越用越喜欢！
5,"第一感觉质感很不错，钛金属边框搭配哑光玻璃背板，高级感拉满，平时使用也不会留下指纹，不过长时间使用还是有一些重量的，拿久了手腕有点遭不住。
屏幕方面超视网膜显示屏真的带来全新视觉体验，不管是玩游戏还是看视频沉浸感十足，窄边框看着也很舒服。
日常使用各种app秒开。运行大型游戏也毫无压力，操作系统非常丝滑。"
5,"618在京东购买这个价钱很划算，还有以旧换新，是正品，完美下车，下次有需要会回购的
外形外观：手机很漂亮，质量很好
屏幕音效：声音很大，手感很好，触感很灵敏"
5,"终于到手啦！
买了白色，果然是高端大气上档次！新系统的界面也
很酷炫，操作起来非常流畅，简直是科技与美学的完美
结合。摄像头性能提升很大，拍照效果杠杠的！
直是拍照爱好者的福音啊！电池续航也延长了不少，总体来说，这次的购物体验非常满意，京东发货速度快，包装完好无损，服务态度也非常好！"
5,"买回来用了一周了，总体感觉很不错，屏幕很大，边框很窄，系统升级到了18.5，非常流畅丝滑。
感觉那个拍照键有点鸡肋，几乎不怎么用，还得想办法保护它。
屏幕是三星的g9p，显示效果非常好，不发绿，是最好的屏幕。
硬盘是东芝的硬盘，也很顶。
前后双摄都是lg的，基本顶配了。
唯一一般的是电池，是深圳欣旺达。"
5,"运行速度：iPhone16 Pro Max 性能超猛！A18Pro 芯片运行丝滑，游戏剪辑轻松拿捏，大屏看剧超爽，值得冲！
拍照效果：iPhone16 Pro Max 拍照绝了！4800 万像素多摄系统，细节清晰、色彩自然，随手一拍就是大片！
待机时间：iPhone16 Pro Max 续航给力，一天使用无压力。屏幕大、性能强，拍照也出色，高端旗舰首选！"
5,今天刚收到，迫不及待打开。原来用的是**pro，这次直接鸟枪换炮升级到了16pro max。比之前大了一些，外边框金属感很强，拿在手里也不重，感觉做工还是一如既往的好。这次京东搞活动叠加中国银行的信用卡满减和免息活动，感觉很划算！
5,"以旧换新：这个是非常好，补贴力度非常大，可以。更何况我的手机也是很不错的
外形外观：还是那个外观。外形比较精致
屏幕音效：显示的很棒，非常好
拍照效果：拍的比较真实。4,800万像素非常可以
运行速度：苹果的系统一向稳定可靠
待机时间：这个待机续航各方面非常好
其他特色：我是比较喜欢屏幕大一点的，续航时间长"
5,"入手苹果16 pro max一段时间，体验感简直太棒了，外观设计简洁大方，拿在手上质感超棒。
搭载的A18 Pro芯片，运行速度超快，各种大型游戏都能轻松驾驭，毫无卡顿。6.9英寸超视网膜XDR屏，显示效果超清晰，色彩也很鲜艳。
相机升级后，拍照更出色，照片细节满满。续航能力也很给力，完全不用担心电量问题，值得推荐。"
5,目前苹果系列最强的手机iPhone系列最强无疑，性能出色运行流畅。拍照效果令人惊艳，色彩饱满细节丰富。屏幕显示效果极佳，清晰度高色彩真实。电池续航能力强，充电速度快非常方便。卖家服务态度非常好，耐心解答问题解答疑虑。发货速度非常快，包装完好无损。
5,"&zwnj;拍照与视频性能&zwnj;：沙漠金iPhone 16的拍照效果非常出色，倍放大后人物细节依然清晰，色彩鲜艳。新增的拍摄色调调整功能，如缥缈和冷调玫瑰色风格，使得拍照效果更加出色&zwnj;。视频通话和约会功能也得到了优化，网络更流畅，语音延迟低&zwnj;。
&zwnj;续航与5G网络&zwnj;：沙漠金iPhone 16的续航能力非常强，一天使用下来基本不需要充电。5G网络的支持使得导航和语音提示更加流畅，使用体验大幅提升&zwnj;。
&zwnj;手感与颜色&zwnj;：手机采用磨砂质感，不沾指纹，手感丝滑。颜色在阳光反射下呈现金属光泽，视觉效果非常好&zwnj;"
5,入手苹果16 pro max一段时间，体验感简直拉满！外观设计简洁大方，拿在手上质感超棒。搭载的A18 Pro芯片，运行速度超快，各种大型游戏都能轻松驾驭，毫无卡顿。6.9英寸超视网膜XDR屏，显示效果超清晰，色彩也很鲜艳。相机升级后，拍照更出色，照片细节满满。续航能力也很给力，完全不用担心电量问题，强烈推荐！
5,"家人们要买早享受!我最近换的这部手机简直是神机!外观设计
超有质感，手感特别棒，拿在手里很有高级感。
使用后
拍照功能更是惊艳，不管是白天的风景照，还是夜晚的夜景模式，拍出来的照片都清晰又好看，色彩还原度超高。
运行速度也没得说，打开多个应用程序都不卡顿，玩游戏
更是流畅得很，完全没有掉帧的情况。
电池续航能力也不错，我正常使用一天完全没问题。充电速度还快，不用长时问等待。
总之，这部手机方方面面都很出色，真的买对啦!强烈推荐给大家！"
5,叠加了满3000-600的券买的，回来按照网上的方法简单验了一下机，感觉没啥问题，是我喜欢的大屏幕，之前在自营买过Mac，pad，各种型号手机，这次也是一样；目前售后都很好，没有翻车，期待使用一段时间
5,"家人们谁懂啊!我入的这部苹果手机真的太香啦!

外观精致又高级，质感直接拉满，拿着它出门超有面儿。系统流畅度绝了，用了这么久，不管是打开多个软件还是运行大型游戏，都完全不卡顿，反应速度超快。

拍照功能超厉害，照片色彩还原度高，细节也能拍得清清楚楚，随手一拍就是绝美大片。电池续航虽然不算特别突出，但搭配快充，回血速度也还可以。

而且苹果的生态系统太强大了，和其他苹果设备无缝衔接，用起来超方便。我真是越用越爱，后悔没有早点换!强烈推荐给大家!"
5,"这款手机真的超出预期!运行超流畅，打开多
个APP都不卡顿。拍照效果惊艳,夜景也清晰明
亮，色彩还原度高。续航能力也很强，一天重度
使用下来还有电，快充速度快,完全不用担心电
量焦虑。外观设计简约大方，手感舒适，性价比
超高，值得推荐!
细节体验型
心心念念的手机终于到手，体验感拉满!屏幕显
示细腻，色彩鲜艳，看视频、打游戏视觉效果超
棒。系统操作人性化，功能丰富又便捷，隐私保
护做得很到位。特别喜欢它的立体音效，听歌、
追剧氛围感十足。用起来太顺手了，满意!"
5,"京东iPhone16 Pro Max太牛了666
A18芯片性能超强，日常使用流畅到飞起，玩大型游戏也毫无压力。6.9英寸超视网膜屏色彩细腻，观影体验绝了。新增的钛金属边框质感拉满，耐磨又高级。续航更是没得说，重度使用一天妥妥的。京东物流超快，包装严实，正品无疑，入手不亏!"
5,家人们，这次换iPhone 16 Pro Max真是换对了！6.9英寸超视网膜XDR屏，看啥都超爽。A18 Pro芯片流畅得不像话，玩游戏毫无压力。拍照也超厉害，4800万像素镜头加上新拍照按键，轻松出大片。续航也顶，一天一充没问题，快速充电回血也快。京东物流超给力，包装严实，手机完好无损到手，安全下车啦~
5,这款手机简直不要太棒！📱搭载最新科技，屏幕超清晰，性能强劲，拍照效果一流📸。512G内存让存储空间绰绰有余，玩游戏、看电影毫无压力✨。如果你也在寻找一款高性价比的手机，强烈推荐入手！虽然突然降价，但是京东保价真的太香了，爱了爱了
5,用12 Pro Max以旧换新，旧机多换了555块，感觉非常划算！16 Pro Max上手后体验很棒，系统流畅，反应特别快。拍照感觉有点一般般，但拍视频表现依然很优秀。整体用起来很顺手，很满意这次升级！
5,手机外观设计简约时尚，手感舒适，质量超棒！使用起来非常流畅，没有出现过卡顿的情况。 收到手机后非常满意！屏幕显示清晰细腻，色彩鲜艳，观感极佳。而且电池续航能力也很强，不用频繁充电。这款手机的性价比超高，功能强大，价格也合理。客服的服务也很周到，非常满意的一次购物体验。 物流速度快，包装严实。外观漂亮，性能强悍，拍照清晰，这款手机真的是物超所值！
5,16pro Max白色款简直颜值天花板！纯净白色机身，简约高级，握持手感超棒。性能更是强劲，运行流畅不卡顿，无论是日常使用还是玩大型游戏都毫无压力。拍照效果惊艳，细节清晰色彩真实。续航给力，一天使用无焦虑，真心推荐！
5,"外形外观：非常光滑
屏幕音效：显示很清晰、音量大
拍照效果：高清图非常好
运行速度：丝滑顺畅，切换刷新网页非常快
待机时间：一整天没问题，电池大容量"
5,宝贝收到了，迫不及待的拆开，验机，是正品，安全下车，哈哈，马上贴膜，安装保护壳，开始体验，不愧是世界上最好用的手机，速度超快，打了二局王者，丝滑的不要不要的，比安卓机强太多了！
5,"续航长，清晰度高，功能丰富，拍照像素好，电池续航
能力强，屏幕显示效果出色，灵动岛交互升级，操作丝
滑，影像卓越，续航更出色。入手苹果16pro max，超视网
膜屏显惊艳，A18Pro芯片实力碾压，爱不释手。性能开挂，流畅度拉满，细节雕琢尽显品质，体验超神。"
5,这款手机真的太棒了！外观时尚，手感一流，屏幕显示清晰细腻，运行速度飞快，玩游戏看视频毫无卡顿。拍照效果超出预期，夜景模式尤其惊艳，细节还原度很高。电池续航给力，快充功能实用，一天重度使用无压力。系统流畅易用，内存足够大，存储空间也很充裕。性价比超高，完全超出这个价位的预期！卖家发货快，包装仔细，还送了实用配件，绝对会推荐给朋友！
5,"京东自营Apple旗舰店购入iPhone16ProMax原色钛用磨用后
金属使用体验 在京东自营Applc旗舰店入手的iPhone
16 Pro Max原色钛金属款，完全超出预期！开箱瞬间，原色钛金属的磨砂质感搭配简约线条，高级感拉满，整机重量分布均匀，握持舒适，大屏设计视野开阔，却丝毫没有笨重感。随手一拍都是大片。
屏幕显示色彩鲜艳，户外强光下也清晰可见。京东自营的服务更是让人安心，物流速度超快，隔天就送达，包装严实无破损。配件齐全，查验序列号、激活都顺畅无阻，绝对正品。使用一周，续航能力强，日常使用一整天毫无压力。无论是性能、颜值还是购物体验都无可挑剔，强烈推荐！"
5,入手苹果 16 Pro Max 一段时间了，体验感超棒！6.9 英寸超大屏幕视野超广，看剧、玩游戏沉浸感拉满，极窄边框视觉效果超震撼。A18 Pro 芯片性能强劲，运行各种大型软件和游戏都毫无压力，切换应用流畅顺滑。相机功能更是绝绝子，4800 万像素主摄搭配超广角、长焦镜头，拍照色彩还原度高，细节满满，新增的侧边相机按钮，抓拍瞬间超便捷。续航也很给力，正常使用一天完全没问题。真心推荐给追求极致体验的朋友，用过就离不开！
5,"京东物流就是速度，包裹的很好，外观完美无瑕，趁着这么大的活动力度赶紧入手，准备再给家人也换一波。手机性能顶级，外观漂亮，无论是拍照还是打游戏，嘎嘎带劲。
其他特色：手感满分💯
拍照效果：画质细腻，尤其自带的滤镜超好看。
运行速度：非常流畅"
5,"A1B芯片性能超强，日常使用流畅到一t起，玩大逊潺后
戏也毫无压力。6.9英寸超视网膜屏色彩细腻，观影
体验绝了。新增的钛金属边框质感拉满，耐磨又高
级。续航更是没得说，重度使用一天妥妥的。京东
物流超快，包装严实，正品无疑，入手不亏!"
5,必须给苹果16 pro max一个大大的好评！上手的瞬间，精致工艺带来的高级质感就拿捏住我了。操作起来，A18 Pro芯片+iOS系统的组合太绝，运行流畅，各种软件随意切换都丝滑无阻。它的屏幕超清晰，色彩还原度高，看视频、玩游戏沉浸感十足。拍照更是没得说，细节满满，随手一拍就是大片。电池续航也抗打，一整天都不用焦虑电量。冲就完事儿！
5,用了一段时间这款苹果手机，体验真的超棒！首先，A系列芯片性能强劲，运行各类大型游戏和多任务处理都流畅丝滑，完全不会卡顿。屏幕显示效果惊艳，色彩鲜艳，清晰度极高，不管是刷视频还是看照片都超享受。iOS系统的安全性和隐私保护也让我特别安心，而且操作界面简洁，使用起来很顺手。拍照功能更是一绝，拍出的照片细节丰富，色彩还原度高，夜景模式也能轻松拿捏。续航能力也比想象中强，满足日常使用毫无压力。外观设计精致有质感，握持感舒适。苹果的售后服务也很贴心，有问题都能及时解决。总之，这款手机从性能到体验都无可挑剔，绝对值得入手！
5,外形外观特别好，特别不错，特别干净，拍照效果特别好，屏幕非常大，很合适，看字都很清晰了，声音很大，手机的运行速度非常快，非常不错，艾灸的时间也非常好，差不多电池充满电可以用一天到两天的时间非常好，而且不辣烫，打游戏应该也是不错的
5,心心念念的苹果16 Pro Max终于到手啦！包装严实精美，打开瞬间，高级感扑面而来。手机外观精致，边框窄，钛金属材质质感拉满。6.9英寸大屏幕，显示清晰，色彩绚丽。新添的相机控制按钮很吸睛，想必拍照体验会更棒。A18 Pro芯片性能强劲，相信使用起来一定流畅丝滑。虽说还没正式用，但对它的表现充满期待，等体验一段时间再来追评！
5,"以旧换新：政策很好，很划算
外形外观：屏幕更大，成色，做工，很完美
屏幕音效：有高刷，很清晰，色彩鲜艳
拍照效果：专门的拍照按钮，更方便了
待机时间：电池容量更大，很耐用"
5,体验感超棒！机身质感高级，钛金属边框低调又耐用。屏幕亮度升级，户外看剧清晰不反光，动态岛交互太有趣～A18芯片流畅到飞起，多任务切换毫无压力，摄影功能更是绝！夜景人像细腻有层次，长焦拍远景也超稳。续航一整天妥妥的，快充回血速度快，果粉表示完全爱住，冲就完事！
5,iPhone 16 Pro Max 白色款真的太惊艳了！真机比图片还要漂亮，哑光玻璃背板手感细腻，而且完全不沾指纹。屏幕的 ProMotion 自适应刷新率丝般顺滑，看视频和打游戏体验直接拉满。A18 芯片性能强到离谱，多开应用毫无压力，续航也比上一代更持久，重度使用一天完全没问题。拍照方面升级明显，低光环境下细节依旧清晰，视频拍摄防抖效果绝了。虽然价格不便宜，但用起来真的爽，果粉可以闭眼冲！
